wave-length (nm),A
672.652,0.4023
672.989,0.3977
673.326,0.4031
673.663,0.4011
674,0.4047
674.337,0.3961
674.674,0.3924
675.01,0.3952
675.347,0.4004
675.684,0.3899
676.021,0.3755
676.357,0.3628
676.694,0.3789
677.031,0.3567
677.367,0.3676
677.704,0.3733
678.04,0.3526
678.376,0.356
678.713,0.3568
679.049,0.3669
679.385,0.3798
679.721,0.3595
680.057,0.3723
680.393,0.3632
680.73,0.36
681.065,0.3683
681.401,0.3715
681.737,0.3659
682.073,0.3548
682.409,0.3453
682.745,0.3439
683.08,0.3438
683.416,0.3493
683.752,0.3342
684.087,0.3306
684.423,0.3384
684.758,0.3307
685.093,0.3335
685.429,0.345
685.764,0.332
686.099,0.3381
686.435,0.3313
686.77,0.3364
687.105,0.3338
687.44,0.329
687.775,0.3255
688.11,0.3361
688.445,0.3332
688.78,0.3279
689.114,0.33
689.449,0.3176
689.784,0.3196
690.119,0.313
690.453,0.3231
690.788,0.3139
691.122,0.3111
691.457,0.3103
691.791,0.3012
692.126,0.3052
692.46,0.3017
692.794,0.3107
693.128,0.2921
693.463,0.305
693.797,0.3177
694.131,0.3085
694.465,0.3072
694.799,0.3158
695.133,0.3176
695.467,0.2979
695.801,0.3082
696.134,0.2963
696.468,0.3063
696.802,0.2918
697.135,0.3025
697.469,0.2955
697.803,0.2981
698.136,0.2956
698.47,0.2891
698.803,0.2883
699.136,0.2891
699.47,0.2919
699.803,0.2964
700.136,0.2935
700.469,0.2873
700.802,0.2879
701.135,0.2958
701.468,0.2932
701.801,0.2873
702.134,0.3006
702.467,0.2949
702.8,0.2957
703.133,0.3006
703.465,0.292
703.798,0.2916
704.131,0.2849
704.463,0.2891
704.796,0.2856
705.128,0.2924
705.461,0.2934
705.793,0.2793
706.125,0.2822
706.458,0.2871
706.79,0.2892
707.122,0.2865
707.454,0.2908
707.786,0.279
708.118,0.289
708.45,0.2891
708.782,0.2859
709.114,0.2856
709.446,0.2888
709.778,0.2951
710.11,0.2987
710.441,0.2975
710.773,0.2897
711.104,0.2958
711.436,0.2952
711.768,0.2905
712.099,0.2853
712.43,0.2881
712.762,0.2894
713.093,0.2896
713.424,0.2891
713.755,0.2937
714.087,0.2735
714.418,0.2909
714.749,0.283
715.08,0.2834
715.411,0.2784
715.742,0.2658
716.072,0.2885
716.403,0.2937
716.734,0.2821
717.065,0.2898
717.395,0.2857
717.726,0.2805
718.057,0.2845
718.387,0.2901
718.718,0.2902
719.048,0.2873
719.378,0.2864
719.709,0.2855
720.039,0.283
720.369,0.2854
720.699,0.2846
721.029,0.2791
721.359,0.269
721.689,0.2846
722.019,0.2806
722.349,0.2783
722.679,0.278
723.009,0.2784
723.339,0.2977
723.669,0.2921
723.998,0.296
724.328,0.2958
724.657,0.292
724.987,0.2875
725.316,0.2871
725.646,0.3008
725.975,0.2946
726.305,0.2936
726.634,0.2824
726.963,0.2821
727.292,0.281
727.621,0.2915
727.95,0.2776
728.279,0.2717
728.608,0.2778
728.937,0.2714
729.266,0.2666
729.595,0.2825
729.924,0.2878
730.253,0.2743
730.581,0.2794
730.91,0.2763
731.238,0.2877
731.567,0.2857
731.896,0.289
732.224,0.2829
732.552,0.2785
732.881,0.2767
733.209,0.2751
733.537,0.289
733.865,0.2891
734.194,0.2855
734.522,0.2713
734.85,0.286
735.178,0.2855
735.506,0.271
735.833,0.2841
736.161,0.296
736.489,0.2815
736.817,0.2845
737.144,0.2934
737.472,0.2823
737.8,0.2849
738.127,0.2821
738.455,0.2853
738.782,0.2833
739.11,0.2794
739.437,0.279
739.764,0.2821
740.091,0.2772
740.419,0.2806
740.746,0.2832
741.073,0.2673
741.4,0.2837
741.727,0.2794
742.054,0.277
742.381,0.2657
742.708,0.2718
743.034,0.2916
743.361,0.2826
743.688,0.2882
744.014,0.285
744.341,0.2851
744.668,0.2784
744.994,0.2902
745.321,0.2868
745.647,0.2863
745.973,0.2841
746.3,0.2895
746.626,0.2736
746.952,0.2729
747.278,0.282
747.604,0.2833
747.93,0.2802
748.256,0.2768
748.582,0.2711
748.908,0.2813
749.234,0.2767
749.56,0.2796
749.885,0.2748
750.211,0.2805
750.537,0.2778
750.862,0.2869
751.188,0.2864
751.513,0.2905
751.839,0.2842
752.164,0.2821
752.49,0.2773
752.815,0.2751
753.14,0.2763
753.465,0.2764
753.79,0.2769
754.116,0.2923
754.441,0.2922
754.766,0.289
755.091,0.2896
755.415,0.2694
755.74,0.2748
756.065,0.28
756.39,0.2798
756.714,0.2957
757.039,0.2902
757.364,0.2866
757.688,0.2862
758.013,0.2864
758.337,0.2834
758.662,0.282
758.986,0.2734
759.31,0.2785
759.634,0.2744
759.959,0.2812
760.283,0.2761
760.607,0.2765
760.931,0.2792
761.255,0.2756
761.579,0.2806
761.903,0.2766
762.226,0.2719
762.55,0.2734
762.874,0.2835
763.198,0.2694
763.521,0.2902
763.845,0.2765
764.168,0.291
764.492,0.2846
764.815,0.2878
765.139,0.2921
765.462,0.2836
765.785,0.2802
766.109,0.2685
766.432,0.2811
766.755,0.2759
767.078,0.2713
767.401,0.2866
767.724,0.2611
768.047,0.2695
768.37,0.2816
768.693,0.2843
769.015,0.2739
769.338,0.2779
769.661,0.2908
769.983,0.2782
770.306,0.279
770.628,0.2694
770.951,0.2785
771.273,0.2614
771.596,0.2659
771.918,0.2681
772.24,0.2616
772.562,0.2756
772.885,0.2712
773.207,0.2746
773.529,0.2882
773.851,0.28
774.173,0.2828
774.495,0.2849
774.817,0.2911
775.138,0.2864
775.46,0.2957
775.782,0.3013
776.103,0.294
776.425,0.2805
776.747,0.279
777.068,0.2708
777.39,0.2604
777.711,0.2735
778.032,0.2676
778.354,0.275
778.675,0.2894
778.996,0.2876
779.317,0.2764
779.638,0.2769
779.959,0.2851
780.28,0.282
780.601,0.2744
780.922,0.2896
781.243,0.2809
781.564,0.2681
781.885,0.2655
782.205,0.2762
782.526,0.2426
782.847,0.2666
783.167,0.2672
783.488,0.2724
783.808,0.2589
784.128,0.2546
784.449,0.2709
784.769,0.2625
785.089,0.2651
785.409,0.2652
785.73,0.2825
786.05,0.2616
786.37,0.2758
786.69,0.2714
787.01,0.2834
787.329,0.2663
787.649,0.2678
787.969,0.2643
788.289,0.2645
788.608,0.2556
788.928,0.2719
789.248,0.2637
789.567,0.2763
789.887,0.2779
790.206,0.259
790.525,0.257
790.845,0.2605
791.164,0.2592
791.483,0.2509
791.802,0.2758
792.121,0.2723
792.44,0.2607
792.76,0.2634
793.078,0.2674
793.397,0.2864
793.716,0.2834
794.035,0.2791
794.354,0.2705
794.672,0.2752
794.991,0.2667
795.31,0.2758
795.628,0.2769
795.947,0.2707
796.265,0.2769
796.584,0.277
796.902,0.2683
797.22,0.2522
797.538,0.2624
797.857,0.2676
798.175,0.2758
798.493,0.2814
798.811,0.2733
799.129,0.2701
799.447,0.2693
799.765,0.271
800.083,0.2821
800.4,0.2738
800.718,0.2873
801.036,0.2782
801.353,0.2793
801.671,0.2858
801.988,0.2706
802.306,0.2784
802.623,0.2774
802.941,0.2784
803.258,0.2681
803.575,0.2758
803.892,0.2674
804.21,0.2537
804.527,0.2424
804.844,0.2468
805.161,0.2338
805.478,0.2486
805.795,0.25
806.111,0.249
806.428,0.2669
806.745,0.2846
807.062,0.2831
807.378,0.2698
807.695,0.2797
808.011,0.2944
808.328,0.2816
808.644,0.2978
808.961,0.2745
809.277,0.2838
809.593,0.2834
809.91,0.2719
810.226,0.2882
810.542,0.2684
810.858,0.2734
811.174,0.2591
811.49,0.2728
811.806,0.2689
812.122,0.2832
812.438,0.2774
812.753,0.2718
813.069,0.2681
813.385,0.2634
813.7,0.2581
814.016,0.2544
814.331,0.2682
814.647,0.2669
814.962,0.2826
815.278,0.2669
815.593,0.2699
815.908,0.2576
816.223,0.263
816.538,0.2736
816.854,0.2566
817.169,0.2549
817.484,0.2809
817.799,0.2854
818.113,0.2686
818.428,0.2779
818.743,0.2926
819.058,0.2795
819.372,0.274
819.687,0.2583
820.002,0.2622
820.316,0.26
820.631,0.2735
820.945,0.2654
821.259,0.2621
821.574,0.2716
821.888,0.2644
822.202,0.2554
822.516,0.2611
822.83,0.2556
823.145,0.26
823.459,0.2802
823.772,0.2844
824.086,0.276
824.4,0.2783
824.714,0.2642
825.028,0.2418
825.341,0.2455
825.655,0.2466
825.969,0.2696
826.282,0.2798
826.596,0.2714
826.909,0.2526
827.222,0.2627
827.536,0.2428
827.849,0.2662
828.162,0.2622
828.475,0.2652
828.789,0.2658
829.102,0.2847
829.415,0.2862
829.728,0.2669
830.041,0.269
830.353,0.2586
830.666,0.2691
830.979,0.2749
831.292,0.2731
831.604,0.2627
831.917,0.273
832.229,0.2669
832.542,0.2769
832.854,0.2684
833.167,0.2792
833.479,0.2779
833.791,0.2765
834.104,0.2574
834.416,0.2746
834.728,0.2722
835.04,0.2887
835.352,0.2636
835.664,0.2565
835.976,0.2541
836.288,0.2616
836.599,0.2871
836.911,0.2677
837.223,0.2717
837.535,0.2602
837.846,0.259
838.158,0.2653
838.469,0.2651
838.781,0.2753
839.092,0.2598
839.403,0.257
839.715,0.2735
840.026,0.2687
840.337,0.2692
840.648,0.2662
840.959,0.2573
841.27,0.2516
841.581,0.2604
841.892,0.264
842.203,0.2612
842.514,0.249
842.825,0.2691
843.135,0.2536
843.446,0.2681
